# High E guitar string sampling at  4096 samples/sec
# time[s], waveform1, waveform2, waveform3, waveform4
0.0000e+00 -5.4300e+02 -1.0300e+02 1.4700e+02 -2.2000e+01
2.4414e-04 -1.3000e+02 -2.4000e+01 2.4800e+02 1.3600e+02
4.8828e-04 -1.2300e+02 -1.3100e+02 -1.3000e+01 1.1600e+02
7.3242e-04 -1.2100e+02 -4.4400e+02 2.7500e+02 -4.1000e+01
9.7656e-04 2.1500e+02 -5.1600e+02 6.1000e+01 -2.3600e+02
1.2207e-03 4.9500e+02 -1.3600e+02 -3.4100e+02 -1.1900e+02
1.4648e-03 6.5700e+02 4.3000e+02 -9.1000e+01 -2.2300e+02
1.7090e-03 3.6700e+02 5.2800e+02 2.3700e+02 -1.1200e+02
1.9531e-03 1.0500e+02 4.0800e+02 -1.5900e+02 1.9100e+02
2.1973e-03 1.5600e+02 1.6700e+02 -5.6100e+02 7.2000e+01
2.4414e-03 -1.1100e+02 7.8000e+01 1.8300e+02 1.9000e+01
2.6855e-03 -4.1600e+02 -6.7000e+01 2.9200e+02 1.2400e+02
2.9297e-03 -6.0100e+02 -1.4700e+02 -2.5600e+02 2.0000e+00
3.1738e-03 -4.9400e+02 -1.2000e+02 2.4200e+02 1.5000e+01
3.4180e-03 -1.0900e+02 -5.2000e+01 1.3800e+02 1.6800e+02
3.6621e-03 -1.7500e+02 -2.6000e+02 -1.0000e+00 1.0700e+02
3.9062e-03 -8.2000e+01 -5.4300e+02 2.6900e+02 -9.7000e+01
4.1504e-03 2.8100e+02 -5.3000e+02 -7.2000e+01 -2.1200e+02
4.3945e-03 5.3600e+02 -2.9000e+01 -3.4300e+02 -1.1400e+02
4.6387e-03 6.1100e+02 4.5700e+02 1.3000e+01 -2.2700e+02
4.8828e-03 2.6000e+02 5.1000e+02 2.0300e+02 -3.0000e+01
5.1270e-03 1.0300e+02 3.5600e+02 -3.1800e+02 2.1800e+02
5.3711e-03 1.3600e+02 1.4400e+02 -4.6200e+02 3.0000e+01
5.6152e-03 -2.0000e+02 6.3000e+01 3.5900e+02 7.1000e+01
5.8594e-03 -4.5300e+02 -9.1000e+01 1.4100e+02 1.1300e+02
6.1035e-03 -6.0000e+02 -1.3100e+02 -2.0700e+02 -1.5000e+01
6.3477e-03 -3.6900e+02 -7.6000e+01 3.1900e+02 5.0000e+01
6.5918e-03 -6.8000e+01 -1.7000e+01 4.4000e+01 1.5300e+02
6.8359e-03 -1.7500e+02 -2.8600e+02 5.7000e+01 6.0000e+01
7.0801e-03 0.0000e+00 -5.2100e+02 2.4600e+02 -1.7800e+02
7.3242e-03 3.5800e+02 -4.3000e+02 -1.9000e+02 -1.9700e+02
7.5684e-03 5.6500e+02 1.4900e+02 -3.0000e+02 -1.4600e+02
7.8125e-03 5.3300e+02 5.1600e+02 1.0300e+02 -2.2100e+02
8.0566e-03 1.5200e+02 5.0100e+02 1.0900e+02 5.2000e+01
8.3008e-03 1.0600e+02 3.0600e+02 -4.5800e+02 2.2100e+02
8.5449e-03 8.3000e+01 1.1900e+02 -3.1400e+02 1.7000e+01
8.7891e-03 -2.9200e+02 9.0000e+00 4.4700e+02 1.2900e+02
9.0332e-03 -4.9300e+02 -1.5000e+02 -3.3000e+01 1.0000e+02
9.2773e-03 -5.8400e+02 -1.6000e+02 -1.0100e+02 -2.2000e+01
9.5215e-03 -2.4100e+02 -9.6000e+01 3.5300e+02 1.0100e+02
9.7656e-03 -4.8000e+01 -6.9000e+01 -1.0000e+01 1.4000e+02
1.0010e-02 -1.5500e+02 -3.7600e+02 1.4800e+02 2.9000e+01
1.0254e-02 9.9000e+01 -5.3100e+02 2.0300e+02 -2.0800e+02
1.0498e-02 4.3100e+02 -3.4400e+02 -2.6700e+02 -1.5000e+02
1.0742e-02 5.7900e+02 2.7000e+02 -1.9600e+02 -1.6300e+02
1.0986e-02 4.3300e+02 5.3000e+02 1.8900e+02 -1.7700e+02
1.1230e-02 7.3000e+01 4.9500e+02 1.1000e+01 1.2700e+02
1.1475e-02 1.0800e+02 2.8500e+02 -5.1800e+02 1.8100e+02
1.1719e-02 6.0000e+00 1.3500e+02 -1.1300e+02 -4.0000e+00
1.1963e-02 -3.8100e+02 9.0000e+00 4.4900e+02 1.3700e+02
1.2207e-02 -5.3500e+02 -1.3700e+02 -1.7400e+02 5.2000e+01
1.2451e-02 -5.5200e+02 -1.2600e+02 3.9000e+01 -3.5000e+01
1.2695e-02 -1.5000e+02 -4.7000e+01 3.1500e+02 1.2800e+02
1.2939e-02 -5.9000e+01 -8.5000e+01 -5.1000e+01 1.0700e+02
1.3184e-02 -1.2400e+02 -4.1100e+02 2.0400e+02 -3.3000e+01
1.3428e-02 2.0600e+02 -5.0000e+02 8.8000e+01 -2.4100e+02
1.3672e-02 4.9000e+02 -2.1200e+02 -3.4700e+02 -1.3600e+02
1.3916e-02 5.8100e+02 3.7300e+02 -9.4000e+01 -1.9500e+02
1.4160e-02 3.4800e+02 5.2500e+02 2.2300e+02 -1.3000e+02
